#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AF104F
#Date Time: 2020-09-14 13:32:03.453
#Sample rate: 1654.94Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: -1.5 V Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 2 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-1.1178625,1.997931015301136,0.003612214751550269
-1.11725825,1.997931015301136,0.004289724784045434
-1.116654,1.997931015301136,0.002934704719054881
-1.11604975,1.997931015301136,0.0019184396703118
-1.1154455,1.997931015301136,0.0002246645890735532
-1.11484125,1.997931015301136,-0.001130355475917
-1.114237,1.997931015301136,-0.001469110492164694
-1.11363275,1.997931015301136,-0.002824130557155247
-1.1130285,1.997931015301136,-0.005534170687136575
-1.11242425,1.997931015301136,-0.005534170687136575
-1.11182,1.99826345593188,-0.007566700784622515
-1.11121575,1.997931015301136,-0.006889190752127128
-1.1106115,1.99826345593188,-0.007905455800870209
-1.11000725,1.997931015301136,-0.007905455800870209
-1.109403,1.997931015301136,-0.008921720849613068
-1.10879875,1.997931015301136,-0.008582965833365375
-1.1081945,1.997931015301136,-0.007566700784622515
-1.10759025,1.997931015301136,-0.00621168071963174
-1.106986,1.997931015301136,-0.004856660654641187
-1.10638175,1.99826345593188,-0.003501640589650634
-1.1057775,1.997931015301136,-0.00316288557340294
-1.10517325,1.997931015301136,-0.001130355475917
-1.104569,1.997931015301136,0.000563419605321247
-1.10396475,1.99826345593188,0.001579684654064328
-1.1033605,1.99826345593188,0.002257194686559494
-1.10275625,1.99826345593188,0.002257194686559494
-1.102152,1.997931015301136,0.003612214751550269
-1.10154775,1.997931015301136,0.002595949702807188
-1.1009435,1.997931015301136,0.004289724784045434
-1.10033925,1.99826345593188,0.003612214751550269
-1.099735,1.997931015301136,0.002934704719054881
-1.09913075,1.997931015301136,0.0009021746215689408
-1.0985265,1.997931015301136,-0.0001140904271741405
-1.09792225,1.997931015301136,-0.001130355475917
-1.097318,1.997931015301136,-0.001807865508412387
-1.09671375,1.997931015301136,-0.0041791506221458
-1.0961095,1.997931015301136,-0.005195415670888881
-1.09550525,1.997931015301136,-0.006889190752127128
-1.094901,1.997931015301136,-0.006889190752127128
-1.09429675,1.99826345593188,-0.007566700784622515
-1.0936925,1.997931015301136,-0.008244210817117681
-1.09308825,1.997931015301136,-0.007566700784622515
-1.092484,1.997931015301136,-0.009260475865860762
-1.09187975,1.997931015301136,-0.007905455800870209
-1.0912755,1.997931015301136,-0.007566700784622515
-1.09067125,1.997931015301136,-0.005534170687136575
-1.090067,1.997931015301136,-0.0041791506221458
-1.08946275,1.997931015301136,-0.003501640589650634
-1.0888585,1.99826345593188,-0.002824130557155247
-1.08825425,1.997931015301136,0.0002246645890735532
-1.08765,1.997931015301136,0.000563419605321247
-1.08704575,1.997931015301136,0.001918439670311492
-1.0864415,1.997931015301136,0.002257194686559494
-1.08583725,1.997931015301136,0.003273459735302575
-1.085233,1.997931015301136,0.002934704719054959
-1.08462875,1.997931015301136,0.003273459735302575
-1.0840245,1.997931015301136,0.004628479800292743
-1.08342025,1.997931015301136,0.002934704719054881
-1.082816,1.99826345593188,0.002257194686559494
-1.08221175,1.997931015301136,0.0005634196053216321
-1.0816075,1.997931015301136,-0.000791600459669306
-1.08100325,1.997931015301136,-0.001807865508412464
-1.080399,1.997931015301136,-0.002146620524660081
-1.07979475,1.997931015301136,-0.005872925703384269
-1.0791905,1.997931015301136,-0.00553417068713696
-1.07858625,1.997931015301136,-0.007227945768374822
-1.077982,1.997931015301136,-0.006550435735879434
-1.07737775,1.997931015301136,-0.008244210817117296
-1.0767735,1.997931015301136,-0.007566700784622515
-1.07616925,1.997931015301136,-0.008582965833365529
-1.075565,1.997931015301136,-0.009260475865860762
-1.07496075,1.99826345593188,-0.007227945768374822
-1.0743565,1.997931015301136,-0.006550435735879126
-1.07375225,1.997931015301136,-0.005195415670888881
-1.073148,1.997931015301136,-0.003840395605898328
-1.07254375,1.997931015301136,-0.003162885573403094
-1.0719395,1.997931015301136,-0.001469110492164694
-1.07133525,1.997931015301136,0.0005634196053214011
-1.070731,1.997931015301136,0.001240929637816635
-1.07012675,1.997931015301136,0.002934704719054881
-1.0695225,1.997931015301136,0.002257194686559725
-1.06891825,1.997931015301136,0.003273459735302575
-1.068314,1.997931015301136,0.002934704719054881
-1.06770975,1.997931015301136,0.004289724784045127
-1.0671055,1.997931015301136,0.003612214751550269
-1.06650125,1.997931015301136,0.002934704719054573
-1.065897,1.997931015301136,0.001579684654064328
-1.06529275,1.997931015301136,-0.0001140904271741405
-1.0646885,1.997931015301136,-0.001130355475916769
-1.06408425,1.99826345593188,-0.001469110492164694
-1.06348,1.997931015301136,-0.0041791506221458
-1.06287575,1.997931015301136,-0.004856660654641033
-1.0622715,1.997931015301136,-0.006550435735879434
-1.06166725,1.997931015301136,-0.007227945768374822
-1.061063,1.997931015301136,-0.007227945768374822
-1.06045875,1.997931015301136,-0.007905455800870209
-1.0598545,1.997931015301136,-0.007566700784622593
-1.05925025,1.997931015301136,-0.009599230882108456
-1.058646,1.997931015301136,-0.007566700784622515
-1.05804175,1.997931015301136,-0.007566700784622515
-1.0574375,1.997931015301136,-0.005872925703384269
-1.05683325,1.997931015301136,-0.004179150622145645
-1.056229,1.997931015301136,-0.003501640589650634
-1.05562475,1.997931015301136,-0.00316288557340294
-1.0550205,1.997931015301136,-0.0004528454434222285
-1.05441625,1.997931015301136,0.0009021746215689408
-1.053812,1.997931015301136,0.002257194686559417
-1.05320775,1.997931015301136,0.0019184396703118
-1.0526035,1.997931015301136,0.002934704719054881
-1.05199925,1.997931015301136,0.003612214751550115
-1.051395,1.997931015301136,0.002934704719054881
-1.05079075,1.997931015301136,0.004628479800293128
-1.0501865,1.997931015301136,0.002934704719055267
-1.04958225,1.997931015301136,0.002934704719054881
-1.048978,1.997931015301136,0.000563419605321016
-1.04837375,1.997931015301136,-0.0004528454434216123
-1.0477695,1.997931015301136,-0.001469110492164694
-1.04716525,1.997931015301136,-0.002146620524660774
-1.046561,1.997931015301136,-0.005195415670888881
-1.04595675,1.997931015301136,-0.005195415670888881
-1.0453525,1.997931015301136,-0.007566700784621976
-1.04474825,1.997931015301136,-0.006550435735879434
-1.044144,1.997931015301136,-0.007905455800870285
-1.04353975,1.997931015301136,-0.008244210817117681
-1.0429355,1.997931015301136,-0.007905455800870209
-1.04233125,1.997931015301136,-0.009260475865860453
-1.041727,1.997931015301136,-0.007905455800870209
-1.04112275,1.997931015301136,-0.007227945768374822
-1.0405185,1.997931015301136,-0.004856660654641727
-1.03991425,1.997931015301136,-0.003840395605898328
-1.03931,1.997931015301136,-0.003501640589650326
-1.03870575,1.997931015301136,-0.002146620524660081
-1.0381015,1.997931015301136,0.0009021746215689408
-1.03749725,1.997931015301136,0.000563419605321324
-1.036893,1.997931015301136,0.002595949702807188
-1.03628875,1.997931015301136,0.0019184396703118
